price,rating,os,sim_type,network_type,NFC,chipset,core_type,clock_ghz,ram_gb,storage_gb,battery_mah,screen_size_in,display_type,rear_camera,front_camera,company_name,resx,resy,ppi,performance_score
9499,6.2,Andriod,Dual,4g,False,Helio,Octa Core,2.3,3,3,5000.0,6.56,Water Drop Notch,8,5,oppo,720,1612,269.1291008656963,6.8999999999999995
27994,8.6,Andriod,Dual,5g,False,Dimensity,Octa Core,2.5,12,12,4200.0,6.44,Small Notch,64,50,vivo,1080,2400,408.66544471045916,30.0
13989,7.5,Andriod,Dual,5g,False,Other,Octa Core,2.0,4,4,5000.0,6.58,Water Drop Notch,50,8,iqoo,1080,2408,401.07946472241093,8.0
44999,8.5,Andriod,Dual,5g,True,Snapdragon,Octa Core,3.2,8,8,4800.0,6.7,Punch Hole,50,16,oneplus,1080,2412,394.44076267485747,25.6
13999,7.9,Andriod,Dual,5g,False,Other,Octa Core,2.2,6,6,5000.0,6.5,Punch Hole,48,8,xiaomi,1080,2400,404.89314829774725,13.200000000000001
6190,8.0,Other,Dual,4g,False,Other,Quad Core,2.0,4,4,3500.0,6.26,Large Notch,13,5,other,720,1600,280.2774721975886,8.0
119900,8.3,IOS,Dual,5g,True,Bionic,Hexa Core,3.22,6,6,3095.0,6.1,Large Notch,12,12,apple,1170,2532,457.2543463119592,19.32
27660,8.3,Andriod,Dual,5g,False,Other,Octa Core,2.2,8,8,4800.0,6.58,Punch Hole,64,32,oppo,1080,2400,399.97043524853456,17.6
8388,6.6,Andriod,Dual,4g,False,Other,Octa Core,2.0,4,4,5000.0,6.53,Water Drop Notch,13,5,xiaomi,720,1600,268.68866400565156,8.0
15999,8.3,Andriod,Dual,4g,True,Other,Octa Core,2.2,6,6,5000.0,6.55,Punch Hole,108,16,motorola,1080,2400,401.8023609061614,13.200000000000001
20999,8.2,Andriod,Dual,5g,False,Other,Octa Core,2.4,8,8,5000.0,6.6,Water Drop Notch,50,13,samsung,1080,2408,399.8640724050703,19.2
13999,7.5,Andriod,Dual,5g,False,Dimensity,Octa Core,2.4,4,4,5000.0,6.5,Punch Hole,48,16,realme,1080,2400,404.89314829774725,9.6
19990,8.3,Andriod,Dual,5g,False,Snapdragon,Octa Core,2.2,8,8,5000.0,6.58,Water Drop Notch,50,16,vivo,1080,2408,401.07946472241093,17.6
13999,7.5,Andriod,Dual,5g,False,Other,Octa Core,2.2,6,6,5000.0,6.5,Water Drop Notch,50,5,samsung,720,1600,269.92876553183146,13.200000000000001
22999,8.3,Andriod,Dual,5g,True,Other,Octa Core,2.5,6,6,4020.0,6.5,Punch Hole,50,32,motorola,1080,2400,404.89314829774725,15.0
22999,7.9,Andriod,Dual,5g,False,Snapdragon,Octa Core,2.2,6,6,5000.0,6.6,Water Drop Notch,50,8,samsung,1080,2408,399.8640724050703,13.200000000000001
16999,7.9,Andriod,Dual,5g,False,Dimensity,Octa Core,2.4,8,8,5000.0,6.56,Water Drop Notch,48,8,oppo,720,1612,269.1291008656963,19.2
14290,8.0,Andriod,Dual,4g,False,Snapdragon,Octa Core,2.4,6,6,5000.0,6.43,Punch Hole,50,13,xiaomi,1080,2400,409.3010052776606,14.399999999999999
41999,8.0,Andriod,Dual,5g,True,Snapdragon,Octa Core,2.4,8,8,5000.0,6.7,Punch Hole,108,32,samsung,1080,2400,392.8067856619936,19.2
13489,6.9,Andriod,Dual,4g,False,Helio,Octa Core,2.3,4,4,5000.0,6.51,Water Drop Notch,13,8,vivo,720,1600,269.5141284111989,9.2
22990,8.3,Andriod,Dual,5g,True,Other,Octa Core,2.85,8,8,5000.0,6.59,Punch Hole,64,16,oneplus,1080,2412,401.0247511261829,22.8
16499,8.4,Andriod,Dual,5g,False,Snapdragon,Octa Core,2.2,8,8,5000.0,6.55,Punch Hole,50,16,motorola,1080,2400,401.8023609061614,17.6
73999,8.0,Andriod,Dual,5g,True,Snapdragon,Octa Core,3.2,12,12,4700.0,6.78,Punch Hole,3,32,vivo,1440,3200,517.5625297807978,38.400000000000006
9999,6.7,Andriod,Dual,4g,False,Other,Octa Core,1.8,4,4,5000.0,6.5,Water Drop Notch,50,5,realme,720,1600,269.92876553183146,7.2
12499,7.5,Andriod,Dual,4g,False,Snapdragon,Octa Core,2.4,4,4,5000.0,6.6,Punch Hole,50,16,realme,1080,2412,400.4171378669008,9.6
12499,7.2,Andriod,Dual,4g,False,Helio,Octa Core,2.3,4,4,5000.0,6.56,Water Drop Notch,50,5,oppo,720,1612,269.1291008656963,9.2
